GRAFO,ENERGIA,PORTAIS,TAM,DIJ,AES,TIME_GRAFO,TIME_DIJ,TIME_AES,DENS
1,108245.237649,1650,125,1,0,1630423.000204,623.000000,491.000000,1
0,59326.496515,257,130,0,0,13543450.001892,1455.000000,961.000000,0
1,59326.496515,257,130,1,0,1715484.000226,632.000000,593.000000,0
0,125076.054505,60,135,0,0,17235183.002246,2054.000000,654.000000,1
1,125076.054505,60,135,1,0,2081808.000264,2514.000000,548.000000,1
0,62534.847532,150,140,0,0,18670443.002279,1969.000000,877.000000,0
1,62534.847532,150,140,1,0,2236153.000268,713.000000,651.000000,0
0,90496.231071,2503,145,0,0,22060324.003037,3450.000000,632.000000,1
1,90496.231071,2503,145,1,0,2536335.000350,594.000000,701.000000,1
0,95888.883727,442,150,0,0,23654912.003188,1799.000000,826.000000,0
1,95888.883727,442,150,1,0,2760982.000370,701.000000,712.000000,0
0,124520.632257,438,155,0,0,28831004.003660,3548.000000,742.000000,1
1,124520.632257,438,155,1,0,3154403.000413,640.000000,1592.000000,1
0,97343.239338,1568,160,0,0,31327479.004038,1529.000000,960.000000,0
1,97343.239338,1568,160,1,0,3380106.000448,766.000000,663.000000,0
0,214395.002197,3717,165,0,0,36746862.005193,2646.000000,3486.000000,1
1,214395.002197,3717,165,1,0,3811346.000550,663.000000,596.000000,1
0,136032.825625,1,170,0,0,40803662.005193,3122.000000,1394.000000,0
1,136032.825625,1,170,1,0,4129084.000550,1220.000000,1134.000000,0
0,85289.785632,2898,175,0,0,47800281.006721,4007.000000,771.000000,1
1,85289.785632,2898,175,1,0,4657670.000676,707.000000,1618.000000,1
0,56533.360239,58,180,0,0,52413970.006752,1709.000000,861.000000,0
1,56533.360239,58,180,1,0,4973809.000678,851.000000,723.000000,0
0,184248.155084,1224,185,0,0,61217293.007928,4498.000000,783.000000,1
1,184248.155084,1224,185,1,0,5553712.000774,2288.000000,736.000000,1
0,42160.642816,2656,190,0,0,64792014.008653,1944.000000,6227.000000,0
1,42160.642816,2656,190,1,0,5809889.000833,868.000000,729.000000,0
0,377607.392803,2181,195,0,0,73678056.010907,4870.000000,38796.000000,1
1,377607.392803,2181,195,1,0,6450458.000998,39703.000000,759.000000,1
0,117.610565,2,5,0,0,2124.000000,1113.000000,333.000000,1
1,117.610565,2,5,1,0,292.000000,332.000000,281.000000,1
0,287.635825,4,10,0,0,4746.000001,535.000000,251.000000,0
1,287.635825,4,10,1,0,729.000000,243.000000,216.000000,0
0,2424.469222,8,15,0,0,17265.000001,511.000000,215.000000,1
1,2424.469222,8,15,1,0,3303.000000,224.000000,218.000000,1
0,677.669492,3,20,0,0,28204.000002,450.000000,324.000000,0
1,677.669492,3,20,1,0,5522.000000,286.000000,241.000000,0
0,6198.586369,13,25,0,0,59954.000007,479.000000,266.000000,1
1,6198.586369,13,25,1,0,12847.000002,257.000000,224.000000,1
0,1566.594986,1,30,0,0,82911.000009,469.000000,251.000000,0
1,1566.594986,1,30,1,0,17872.000003,226.000000,226.000000,0
0,9674.438596,35,35,0,0,162039.000014,587.000000,292.000000,1
1,9674.438596,35,35,1,0,35189.000004,275.000000,284.000000,1
0,5068.764093,37,40,0,0,203643.000019,588.000000,296.000000,0
1,5068.764093,37,40,1,0,43648.000005,263.000000,255.000000,0
0,23579.317969,64,45,0,0,351502.000035,818.000000,426.000000,1
1,23579.317969,64,45,1,0,71718.000008,361.000000,385.000000,1
0,5481.367399,54,50,0,0,420080.000045,739.000000,472.000000,0
1,5481.367399,54,50,1,0,85443.000010,427.000000,368.000000,0
0,24992.306894,11,55,0,0,659467.000064,978.000000,610.000000,1
1,24992.306894,11,55,1,0,131402.000014,509.000000,664.000000,1
0,14812.955943,127,60,0,0,776246.000082,700.000000,507.000000,0
1,14812.955943,127,60,1,0,150988.000018,387.000000,366.000000,0
0,34260.040727,25,65,0,0,1265132.000090,1576.000000,600.000000,1
1,34260.040727,25,65,1,0,220697.000018,507.000000,572.000000,1
0,7486.916820,233,70,0,0,1383249.000132,936.000000,863.000000,0
1,7486.916820,233,70,1,0,241842.000027,503.000000,677.000000,0
0,71519.789784,24,75,0,0,2145748.000162,2198.000000,668.000000,1
1,71519.789784,24,75,1,0,346907.000033,592.000000,387.000000,1
0,13508.877757,239,80,0,0,2370148.000190,830.000000,595.000000,0
1,13508.877757,239,80,1,0,380398.000038,522.000000,636.000000,0
0,80442.042960,459,85,0,0,3166778.000409,1799.000000,635.000000,1
1,80442.042960,459,85,1,0,498151.000097,602.000000,488.000000,1
0,18034.704345,40,90,0,0,3512223.000414,2252.000000,1257.000000,0
1,18034.704345,40,90,1,0,551873.000098,2373.000000,883.000000,0
0,66043.697465,355,95,0,0,4499510.000559,2428.000000,679.000000,1
1,66043.697465,355,95,1,0,706475.000120,851.000000,40472.000000,1
0,26881.670015,0,100,0,0,4875691.000645,1572.000000,595.000000,0
1,26881.670015,0,100,1,0,755087.000133,619.000000,505.000000,0
0,93482.961115,539,105,0,0,6388052.000819,1920.000000,762.000000,1
1,93482.961115,539,105,1,0,944133.000156,587.000000,515.000000,1
0,17844.770024,465,110,0,0,6883640.000926,1183.000000,944.000000,0
1,17844.770024,465,110,1,0,1003261.000173,524.000000,528.000000,0
0,82543.668488,1899,115,0,0,8423614.001312,1309.000000,624.000000,1
1,82543.668488,1899,115,1,0,1190644.000223,36985.000000,510.000000,1
0,56270.525195,204,120,0,0,9207693.001355,2632.000000,754.000000,0
1,56270.525195,204,120,1,0,1284296.000229,721.000000,813.000000,0
0,111014.778199,674,125,0,0,11756203.001732,1693.000000,2486.000000,1
1,111014.778199,674,125,1,0,1560700.000275,625.000000,487.000000,1
0,81442.887408,209,130,0,0,12851391.001849,2979.000000,749.000000,0
1,81442.887408,209,130,1,0,1684279.000285,648.000000,598.000000,0
0,138657.982347,1378,135,0,0,15826481.002384,1408.000000,630.000000,1
1,138657.982347,1378,135,1,0,1989398.000343,2538.000000,582.000000,1
0,39191.975393,266,140,0,0,16989154.002641,1726.000000,762.000000,0
1,39191.975393,266,140,1,0,2106030.000374,656.000000,626.000000,0
0,173593.019290,473,145,0,0,21424828.002872,3391.000000,770.000000,1
1,173593.019290,473,145,1,0,2541329.000393,639.000000,606.000000,1
0,59936.803965,161,150,0,0,23620333.002972,1779.000000,957.000000,0
1,59936.803965,161,150,1,0,2770152.000405,732.000000,625.000000,0
0,231101.192315,3039,155,0,0,28227245.003756,3927.000000,814.000000,1
1,231101.192315,3039,155,1,0,3239184.000483,699.000000,1725.000000,1
0,121728.757534,144,160,0,0,31090855.003877,1728.000000,918.000000,0
1,121728.757534,144,160,1,0,3516614.000494,38125.000000,750.000000,0
0,141287.015722,1475,165,0,0,35753488.005422,1971.000000,3353.000000,1
1,141287.015722,1475,165,1,0,3925492.000623,719.000000,686.000000,1
0,114382.460645,841,170,0,0,38869559.005769,1512.000000,936.000000,0
1,114382.460645,841,170,1,0,4195003.000656,856.000000,40836.000000,0
0,253791.212238,3830,175,0,0,45566137.006886,4094.000000,839.000000,1
1,253791.212238,3830,175,1,0,4786635.000746,846.000000,1852.000000,1
0,69096.135440,571,180,0,0,48921885.007388,1766.000000,949.000000,0
1,69096.135440,571,180,1,0,5068610.000787,864.000000,798.000000,0
0,385622.349118,157,185,0,0,58357536.007754,3905.000000,828.000000,1
1,385622.349118,157,185,1,0,5846608.000818,1754.000000,720.000000,1
0,145118.722057,663,190,0,0,62714805.007951,2022.000000,981.000000,0
1,145118.722057,663,190,1,0,6187397.000836,1027.000000,817.000000,0
0,347527.241326,842,195,0,0,74427512.008206,5283.000000,1059.000000,1
1,347527.241326,842,195,1,0,7029598.000857,3017.000000,1118.000000,1
0,144.404611,0,5,0,0,2336.000000,1097.000000,420.000000,1
1,144.404611,0,5,1,0,318.000000,402.000000,297.000000,1
0,161.327522,1,10,0,0,5133.000001,559.000000,272.000000,0
1,161.327522,1,10,1,0,769.000000,205.000000,248.000000,0
0,1990.565848,3,15,0,0,18411.000002,506.000000,240.000000,1
1,1990.565848,3,15,1,0,3426.000001,215.000000,241.000000,1
0,1074.472790,9,20,0,0,28518.000003,331.000000,329.000000,0
1,1074.472790,9,20,1,0,5636.000001,270.000000,303.000000,0
0,5468.147852,20,25,0,0,64900.000006,517.000000,251.000000,1
1,5468.147852,20,25,1,0,13994.000002,315.000000,288.000000,1
0,3749.114336,23,30,0,0,92534.000008,434.000000,252.000000,0
1,3749.114336,23,30,1,0,19527.000002,260.000000,266.000000,0
0,6383.783570,42,35,0,0,170154.000014,443.000000,269.000000,1
1,6383.783570,42,35,1,0,36847.000004,243.000000,290.000000,1
0,3239.395669,15,40,0,0,211105.000020,400.000000,257.000000,0
1,3239.395669,15,40,1,0,46365.000005,254.000000,264.000000,0
0,16742.248782,85,45,0,0,342529.000033,655.000000,684.000000,1
1,16742.248782,85,45,1,0,73349.000008,318.000000,362.000000,1
0,6605.472196,9,50,0,0,458503.000034,590.000000,415.000000,0
1,6605.472196,9,50,1,0,87977.000008,41898.000000,392.000000,0
0,10889.022802,150,55,0,0,654781.000088,1100.000000,583.000000,1
1,10889.022802,150,55,1,0,124476.000019,470.000000,426.000000,1
0,10232.231382,0,60,0,0,765869.000088,576.000000,404.000000,0
1,10232.231382,0,60,1,0,145872.000019,386.000000,392.000000,0
0,16932.789406,343,65,0,0,1011908.000198,603.000000,37282.000000,1
1,16932.789406,343,65,1,0,190305.000037,450.000000,482.000000,1
0,9842.288881,252,70,0,0,1171203.000260,8587.000000,974.000000,0
1,9842.288881,252,70,1,0,241466.000047,469.000000,467.000000,0
0,34988.988743,186,75,0,0,1938120.000288,21819.000000,533.000000,1
1,34988.988743,186,75,1,0,349591.000051,476.000000,446.000000,1
0,15239.636932,64,80,0,0,2227772.000296,2169.000000,618.000000,0
1,15239.636932,64,80,1,0,389603.000053,1050.000000,1094.000000,0
0,51994.512971,528,85,0,0,3071845.000431,1434.000000,643.000000,1
1,51994.512971,528,85,1,0,531996.000068,639.000000,505.000000,1
0,26102.083859,262,90,0,0,3390473.000492,793.000000,583.000000,0
1,26102.083859,262,90,1,0,570481.000078,475.000000,445.000000,0
0,115625.503047,113,95,0,0,4597714.000600,2277.000000,689.000000,1
1,115625.503047,113,95,1,0,721604.000093,682.000000,542.000000,1
0,16098.686374,141,100,0,0,5040774.000635,1382.000000,891.000000,0
1,16098.686374,141,100,1,0,783714.000098,670.000000,571.000000,0
0,73542.372399,337,105,0,0,6386242.000940,47756.000000,790.000000,1
1,73542.372399,337,105,1,0,942957.000137,560.000000,573.000000,1
0,50704.104104,566,110,0,0,6867480.001073,1970.000000,17033.000000,0
1,50704.104104,566,110,1,0,1011631.000156,612.000000,615.000000,0
0,126542.120009,604,115,0,0,8480056.001507,38350.000000,773.000000,1
1,126542.120009,604,115,1,0,1232250.000210,591.000000,531.000000,1
0,28232.537311,334,120,0,0,9162229.001625,1257.000000,709.000000,0
1,28232.537311,334,120,1,0,1312408.000225,608.000000,547.000000,0
0,135975.519321,49,125,0,0,11782940.001839,2058.000000,3167.000000,1
1,135975.519321,49,125,1,0,1577237.000256,617.000000,549.000000,1
0,58752.782483,36,130,0,0,12793401.001942,1757.000000,896.000000,0
1,58752.782483,36,130,1,0,1689872.000269,689.000000,663.000000,0
0,128968.003608,1411,135,0,0,16186246.002253,1673.000000,717.000000,1
1,128968.003608,1411,135,1,0,2008956.000304,38412.000000,604.000000,1
0,86033.708042,726,140,0,0,17327068.002420,2951.000000,965.000000,0
1,86033.708042,726,140,1,0,2154965.000326,630.000000,648.000000,0
0,172828.002743,205,145,0,0,21460306.002815,3800.000000,757.000000,1
1,172828.002743,205,145,1,0,2513617.000368,648.000000,699.000000,1
0,87409.644900,16,150,0,0,23171435.002916,1969.000000,776.000000,0
1,87409.644900,16,150,1,0,2676387.000381,689.000000,602.000000,0
0,140778.272956,26,155,0,0,28850433.002920,4010.000000,52966.000000,1
1,140778.272956,26,155,1,0,3197904.000381,637.000000,35279.000000,1
0,106225.346152,1593,160,0,0,30874492.003392,1951.000000,1173.000000,0
1,106225.346152,1593,160,1,0,3397199.000432,858.000000,783.000000,0
0,237418.958086,126,165,0,0,36939961.003950,1741.000000,3112.000000,1
1,237418.958086,126,165,1,0,3855438.000484,738.000000,651.000000,1
0,97603.709701,925,170,0,0,39280166.004175,2064.000000,957.000000,0
1,97603.709701,925,170,1,0,4071725.000511,830.000000,764.000000,0
0,359561.551811,516,175,0,0,47060027.004560,3964.000000,948.000000,1
1,359561.551811,516,175,1,0,4693229.000550,1149.000000,2040.000000,1
0,62150.496552,2190,180,0,0,49794505.005121,1910.000000,1042.000000,0
1,62150.496552,2190,180,1,0,4925214.000608,892.000000,996.000000,0
0,461142.157535,15,185,0,0,59963643.005126,4606.000000,807.000000,1
1,461142.157535,15,185,1,0,5669394.000609,2012.000000,718.000000,1
0,116303.531262,561,190,0,0,64138957.005315,2155.000000,954.000000,0
1,116303.531262,561,190,1,0,6014597.000631,965.000000,775.000000,0
0,337309.188173,617,195,0,0,72588334.007809,4209.000000,937.000000,1
1,337309.188173,617,195,1,0,6578584.000823,2064.000000,717.000000,1
0,182.421843,2,5,0,0,2224.000000,1045.000000,356.000000,1
1,182.421843,2,5,1,0,256.000000,318.000000,292.000000,1
0,366.399337,1,10,0,0,5147.000001,521.000000,288.000000,0
1,366.399337,1,10,1,0,726.000000,242.000000,205.000000,0
0,856.801982,13,15,0,0,14549.000005,516.000000,229.000000,1
1,856.801982,13,15,1,0,3107.000001,226.000000,207.000000,1
0,423.490823,7,20,0,0,23756.000007,39477.000000,327.000000,0
1,423.490823,7,20,1,0,4978.000002,379.000000,257.000000,0
0,2621.426818,52,25,0,0,57510.000014,422.000000,252.000000,1
1,2621.426818,52,25,1,0,12868.000003,260.000000,249.000000,1
0,3274.037051,10,30,0,0,79572.000018,483.000000,260.000000,0
1,3274.037051,10,30,1,0,17344.000005,234.000000,220.000000,0
0,14716.584246,13,35,0,0,151355.000032,690.000000,338.000000,1
1,14716.584246,13,35,1,0,32909.000007,291.000000,277.000000,1
0,6489.082189,46,40,0,0,187184.000041,551.000000,275.000000,0
1,6489.082189,46,40,1,0,40213.000010,275.000000,313.000000,0
0,18451.801945,90,45,0,0,341165.000051,838.000000,480.000000,1
1,18451.801945,90,45,1,0,67856.000012,420.000000,372.000000,1
0,3133.990587,203,50,0,0,396992.000076,729.000000,455.000000,0
1,3133.990587,203,50,1,0,78527.000016,505.000000,417.000000,0
0,15001.988267,307,55,0,0,598656.000152,1011.000000,734.000000,1
1,15001.988267,307,55,1,0,112788.000030,537.000000,459.000000,1
0,4540.160357,19,60,0,0,705415.000189,770.000000,446.000000,0
1,4540.160357,19,60,1,0,131235.000036,384.000000,391.000000,0
0,53490.192833,19,65,0,0,1172218.000204,2028.000000,654.000000,1
1,53490.192833,19,65,1,0,199729.000039,465.000000,719.000000,1
0,26834.672500,31,70,0,0,1371125.000209,884.000000,633.000000,0
1,26834.672500,31,70,1,0,229700.000040,456.000000,415.000000,0
0,47437.999498,26,75,0,0,1922565.000317,1613.000000,469.000000,1
1,47437.999498,26,75,1,0,304255.000056,476.000000,462.000000,1
0,35038.092958,0,80,0,0,2190672.000324,3417.000000,1097.000000,0
1,35038.092958,0,80,1,0,344397.000057,648.000000,939.000000,0
0,71377.603441,601,85,0,0,2904091.000512,2243.000000,906.000000,1
1,71377.603441,601,85,1,0,511220.000079,759.000000,437.000000,1
0,11077.989636,40,90,0,0,3197793.000566,1132.000000,938.000000,0
1,11077.989636,40,90,1,0,556270.000088,563.000000,439.000000,0
0,30903.698489,71,95,0,0,4666681.000672,1727.000000,575.000000,1
1,30903.698489,71,95,1,0,760846.000102,494.000000,507.000000,1
0,43277.507857,49,100,0,0,5097503.000707,1045.000000,665.000000,0
1,43277.507857,49,100,1,0,823003.000108,1034.000000,528.000000,0
0,40094.998285,387,105,0,0,6832486.000796,1451.000000,587.000000,1
1,40094.998285,387,105,1,0,1072513.000121,534.000000,486.000000,1
0,20348.878869,319,110,0,0,7395455.000892,41239.000000,671.000000,0
1,20348.878869,319,110,1,0,1141909.000137,576.000000,528.000000,0
0,68049.080836,506,115,0,0,9503620.001001,1667.000000,797.000000,1
1,68049.080836,506,115,1,0,1384317.000150,634.000000,548.000000,1
0,20131.984929,817,120,0,0,10072093.001195,1601.000000,799.000000,0
1,20131.984929,817,120,1,0,1487996.000214,563.000000,733.000000,0
0,80654.032509,125,125,0,0,12810901.001366,1497.000000,39498.000000,1
1,80654.032509,125,125,1,0,1774944.000233,555.000000,509.000000,1
0,48104.082334,74,130,0,0,13777489.001424,1830.000000,753.000000,0
1,48104.082334,74,130,1,0,1888010.000242,652.000000,583.000000,0
0,198000.742073,453,135,0,0,17252582.001651,1667.000000,757.000000,1
1,198000.742073,453,135,1,0,2208173.000268,2588.000000,591.000000,1
0,117869.362844,47,140,0,0,18762065.001666,2556.000000,1059.000000,0
1,117869.362844,47,140,1,0,2371162.000270,621.000000,629.000000,0
0,75908.502234,224,145,0,0,23013220.001809,4433.000000,804.000000,1
1,75908.502234,224,145,1,0,2764169.000286,612.000000,41020.000000,1
0,115042.229271,1,150,0,0,25361730.001810,2460.000000,1011.000000,0
1,115042.229271,1,150,1,0,3021946.000286,739.000000,781.000000,0
0,247102.545363,4666,155,0,0,29286632.003002,3778.000000,882.000000,1
1,247102.545363,4666,155,1,0,3390879.000416,718.000000,1836.000000,1
0,71749.584246,187,160,0,0,31763018.003054,1951.000000,813.000000,0
1,71749.584246,187,160,1,0,3598052.000421,759.000000,651.000000,0
0,189003.980699,3437,165,0,0,37144172.004351,1971.000000,3144.000000,1
1,189003.980699,3437,165,1,0,4080316.000542,718.000000,611.000000,1
0,60254.332898,1271,170,0,0,39936264.004893,1957.000000,957.000000,0
1,60254.332898,1271,170,1,0,4318911.000593,843.000000,759.000000,0
0,287967.673573,1699,175,0,0,46909252.006008,4618.000000,874.000000,1
1,287967.673573,1699,175,1,0,4837386.000697,781.000000,1805.000000,1
0,152177.255815,5,180,0,0,50476895.006115,2657.000000,1291.000000,0
1,152177.255815,5,180,1,0,5141923.000710,1089.000000,957.000000,0
0,318385.079754,74,185,0,0,58854053.007241,4144.000000,1012.000000,1
1,318385.079754,74,185,1,0,5699600.000802,3375.000000,900.000000,1
0,175911.901182,984,190,0,0,62402673.007731,2788.000000,1573.000000,0
1,175911.901182,984,190,1,0,6069873.000840,1333.000000,1193.000000,0
0,171983.782488,3605,195,0,0,71793578.009075,5838.000000,1413.000000,1
1,171983.782488,3605,195,1,0,6777872.000961,2799.000000,1136.000000,1
0,93.640952,2,5,0,0,2236.000000,1146.000000,561.000000,1
1,93.640952,2,5,1,0,252.000000,311.000000,271.000000,1
0,363.198361,1,10,0,0,4870.000000,533.000000,259.000000,0
1,363.198361,1,10,1,0,779.000000,265.000000,265.000000,0
